2018/10/23,86525,82,2.62,31.4 
2018/10/29,86635,102,3.3,31.1 
2018/11/04,86761,120,3.87,31.0 
2018/11/09,86874,92,2.98,30.7 
2018/11/15,86993,97,3.25,29.9 
2018/11/22,87108,100,3.42,29.2 
2018/11/28,87211,84,2.96,28.3 
2018/12/05,87324,95,3.43,27.6 
2018/12/17,87450,95,3.42,27.8 
2018/12/26,87550,79,2.96,26.8 
2019/01/03,87676,100,3.85,25.9 
2019/01/14,87781,82,2.96,26.7 
2019/01/21,87886,84,3.02,27.8 
2019/01/30,87988,85,3.06,27.8 
2019/02/11,88098,90,3.24,27.8 
2019/02/18,88200,79,2.86,27.8 
2019/02/23,88317,75,2.69,27.7 
2019/02/27,88408,83,3.0,27.7 
2019/03/11,88540,104,3.71,28.0 
2019/03/18,88660,95,3.36,28.3 
2019/03/25,88738,81,2.82,28.8 
2019/04/02,88850,95,3.27,29.0 
2019/04/15,88938,80,2.74,29.4 
2019/05/03,89026,91,3.03,30.1 
2019/05/21,89133,104,3.42,30.3 
2019/06/06,89238,100,3.34,29.8 
2019/06/25,89357,48,1.68,28.6 
2019/07/05,89400,100,3.46,29.0 
2019/07/29,89519,104,3.97,28.6 
2019/10/02,89632,120,4.21,28.5 
2019/11/04,89765,100,3.58,27.9 
2019/12/27,89867,105,3.63,29.0 
2020/02/03,89948,89,3.25,27.3 
2020/03/09,90034,86,3.38,25.5 
2020/04/14,90107,50,2.58,19.4 
2020/04/29,90151,33,1.89,17.6 
2020/05/06,90256,50,2.82,17.6 
2020/05/14,90349,61,3.1,19.7 
2020/05/21,90445,54,2.61,20.5 
2020/06/04,90522,56,2.61,21.3 
2020/06/11,90616,56,2.54,22.0 
2020/06/16,90696,55,2.4,22.8 
2020/06/22,90770,55,2.37,23.1 
