調價日期,無鉛汽油95 
2011/7/11,31.9 
2011/7/4,31.6 
2011/6/27,31.8 
2011/6/13,32.3 
2011/6/6,32.2 
2011/5/23,32.1 
2011/5/16,32.2 
2011/5/9,32.6 
2011/5/2,33.2 
2011/4/25,33.1 
2011/4/18,33.2 
2011/4/11,33.1 
2011/4/4,32.7 
2011/3/28,32.8 
2011/3/21,32.6 
2011/3/7,32.8 
2011/2/28,32.5 
2011/2/21,31.8 
2011/1/31,31.5 
2011/1/17,31.7 
2011/1/10,31.6 
2010/12/27,31.5 
2010/12/20,31.3 
2010/12/13,31.2 
2010/12/6,30.8 
2010/11/29,30.5 
2010/11/22,30.6 
2010/11/15,31 
2010/11/8,30.5 
2010/11/1,30.1 
2010/10/25,30 
2010/10/18,30.3 
2010/10/11,30.4 
2010/9/27,29.7 
2010/9/13,29.5 
2010/9/6,29.3 
2010/8/30,28.9 
2010/8/23,29.2 
2010/8/16,29.7 
2010/8/9,30.3 
2010/8/2,29.5 
2010/7/19,29.4 
2010/7/12,28.9 
2010/7/5,29.3 
2010/6/21,29.7 
2010/6/14,29.2 
2010/6/7,29.3 
2010/5/31,28.6 
2010/5/24,29.1 
2010/5/17,30.2 
2010/5/10,30.5 
2010/5/3,30.7 
2010/4/19,30.5 
2010/4/12,30.4 
2010/4/5,29.7 
2010/3/15,29.4 
2010/3/8,29.2 
2010/3/1,28.8 
2010/2/13,28.6 
2010/2/10,29.3 
2010/2/9,29.7 
2010/2/8,29.8 
2010/2/1,29.5 
2010/1/25,30.2 
2010/1/11,30.8 
2010/1/2,30.7 
2009/12/26,29.9 
2009/12/19,29.8 
2009/12/12,30.5 
2009/12/5,31 
2009/11/28,30.7 
2009/11/21,30.8 
2009/11/14,30.9 
2009/11/7,30.8 
2009/10/31,30.2 
2009/10/24,30.4 
2009/10/17,29.5 
2009/10/10,28.8 
2009/10/3,28.3 
2009/9/12,29 
2009/9/5,29.3 
2009/8/29,29.7 
2009/8/22,29.4 
2009/8/1,29 
2009/7/25,28.3 
2009/7/18,27.7 
2009/7/11,28.1 
2009/7/4,29.3 
2009/6/27,29 
2009/6/20,28.7 
2009/6/13,28 
2009/6/6,27.7 
2009/5/30,27.2 
2009/5/23,26.8 
2009/5/16,26.7 
2009/5/9,26.1 
2009/5/2,25.2 
2009/4/25,25.3 
2009/4/18,25.6 
2009/4/11,25.5 
2009/4/4,24.9 
2009/3/28,25.1 
2009/3/21,24 
2009/3/14,23.7 
2009/3/7,23.8 
2009/2/21,23.3 
2009/2/14,23.5 
2009/2/7,23.1 
2009/1/24,22.8 
2009/1/10,22.9 
2009/1/3,21 
2008/12/27,21.1 
2008/12/20,21.5 
2008/12/13,20.8 
2008/12/6,21.2 
2008/11/29,21.3 
2008/11/22,21.4 
2008/11/15,22.4 
2008/11/1,23.7 
2008/10/25,24.5 
2008/10/18,25.9 
2008/10/11,27.9 
2008/10/4,30.2 
2008/9/27,30.8 
2008/9/20,29.7 
2008/9/13,31.3 
2008/9/6,32.6 
2008/8/30,33.5 
2008/8/23,33 
2008/8/16,33.2 
2008/8/9,34.1 
2008/7/2,36.1 
2008/5/28,34.6 
2007/11/2,30.7 
2007/10/2,29.8 
2007/9/2,28.5 
2007/8/15,29.1 
2007/7/25,29.8 
2007/7/18,29.7 
2007/7/11,29.3 
2007/7/4,29 
2007/6/20,28.6 
2007/6/6,28 
2007/5/30,27.8 
2007/5/23,28.1 
2007/5/16,27.3 
2007/5/9,27 
2007/4/25,28 
2007/4/18,27.5 
2007/4/11,27 
2007/4/4,28 
2007/3/28,27.6 
2007/3/21,26.3 
2007/3/14,26.8 
2007/3/7,27 
2007/2/28,27.3 
2007/2/14,26.5 
2007/2/7,26.7 
2007/1/31,25.7 
2007/1/24,25.1 
2007/1/17,25.5 
2007/1/10,26.1 
2007/1/3,27.2 
2006/12/27,27.6 
2006/12/20,27.7 
2006/12/13,27.4 
2006/12/6,27.7 
2006/11/29,27.2 
2006/11/22,26.1 
2006/11/15,26.7 
2006/11/8,27 
2006/11/1,26.6 
2006/10/25,26.3 
2006/10/11,27 
2006/9/26,27.2 
2006/9/14,28.1 
