date,weight 
2019-10,71.7
2019-10,72.3
2019-10,71.8
2019-10,72.6
2019-10,73.0
2019-10,73.1
2019-11,74.1
2019-11,73.4
2019-11,74.2
2019-11,74.6
2019-12,73.9
2019-12,73.6
2019-12,74.6
2019-12,75.0
2019-12,75.1
2019-12,75.9
2020-01,75.2
2020-01,76.4
2020-01,76.7
2020-02,75.7
2020-02,75.5
2020-02,75.7
2020-02,75.7
2020-02,75.7
2020-02,75.4
2020-02,75.2
2020-02,74.8
2020-02,74.1
2020-02,74.7
2020-03,76.4
2020-03,75.1
2020-03,75.3
2020-03,74.3
2020-03,74.9
2020-03,74.9
2020-03,74.7
2020-03,74.5
2020-03,74.5
2020-03,74.5
2020-03,74.6
2020-03,74.4
2020-03,74.4
2020-03,74.6
2020-03,73.8
2020-03,74.1
2020-03,74.1
2020-03,74.4
2020-03,74.0
2020-03,74.4
2020-03,73.9
2020-03,74.0
2020-03,73.8
2020-03,74.6
2020-03,74.4
2020-03,74.2
2020-03,74.2
2020-03,74.0
2020-03,73.5
2020-03,73.8
2020-03,74.2
2020-03,73.9
2020-03,73.9
2020-03,74.3
2020-03,74.2
2020-03,73.6
2020-03,73.5
2020-03,73.9
2020-03,73.5
2020-03,73.3
2020-03,72.9
2020-03,73.4
2020-03,73.4
2020-03,73.2
2020-03,73.6
2020-03,73.8
2020-03,73.7
2020-03,73.8
2020-03,73.7
2020-03,73.7
2020-03,74.2
2020-03,74.2
2020-03,73.2
2020-03,73.1
2020-03,72.9
2020-03,73.0
2020-03,73.3
2020-03,72.9
2020-03,74.1
2020-03,73.6
2020-03,73.7
2020-03,73.9
2020-03,74.0
2020-03,73.9
2020-03,74.9
2020-03,74.4
2020-03,74.0
2020-03,73.9
2020-03,73.9
2020-03,75.2
2020-03,74.1
2020-03,74.5
2020-03,73.6
2020-04,73.9
2020-04,73.9
2020-04,73.9
2020-04,73.4
2020-04,73.8
2020-04,73.9
2020-04,73.9
2020-04,75.7
2020-04,74.3
2020-04,74.3
2020-04,74.0
2020-04,74.1
2020-04,73.9
2020-04,73.9
2020-04,74.2
2020-04,74.1
2020-04,73.1
2020-04,73.3
2020-04,74.4
2020-04,73.9
2020-04,73.9
2020-04,73.7
2020-04,74.3
2020-05,74.0
2020-05,74.3
2020-05,74.1
2020-05,74.0
2020-05,73.7
2020-05,74.4
2020-05,74.0
2020-05,74.0
2020-05,73.4
2020-05,74.1
2020-05,73.8
2020-05,73.0
2020-05,73.4
2020-05,73.1
2020-05,73.3
2020-05,74.3
2020-05,74.4
2020-05,73.9
2020-05,74.4
2020-05,73.5
2020-05,73.7
2020-05,72.8
2020-05,73.7
2020-05,73.7
2020-05,73.2
2020-05,72.6
2020-05,73.7
2020-05,73.7
2020-05,73.5
2020-05,73.3
2020-05,73.7
2020-05,73.7
2020-05,73.3
2020-05,73.6
2020-05,73.2
2020-05,73.5
2020-05,72.7
2020-05,72.9
2020-05,73.7
2020-05,73.2
2020-05,72.6
2020-05,72.9
2020-05,72.9
2020-05,72.7
2020-05,72.5
2020-05,73.0
2020-05,72.3
2020-05,71.9
2020-05,73.0
2020-05,73.1
2020-05,72.3
2020-05,73.0
2020-05,72.6
2020-05,74.0
2020-05,73.6
2020-05,74.0
2020-05,73.0
2020-05,73.9
2020-05,73.5
2020-05,73.6
2020-05,73.7
2020-05,73.9
2020-05,72.5
2020-05,73.1
2020-05,73.1
2020-05,73.2
2020-05,72.6
2020-05,73.0
2020-05,71.9
2020-05,72.1
2020-05,71.8
2020-05,72.1
2020-05,71.6
2020-05,71.5
2020-05,72.5
2020-05,72.0
