sno,sna,tot,sbi,sarea,bemp
1351,樹林區公所,40,8,樹林區,31
1352,蘆洲重陽大樓,30,22,蘆洲區,7
1353,埔墘國小,34,14,板橋區,19
1354,圓通錦和路口,46,35,中和區,11
1355,下庄市場,30,19,八里區,11
1356,亞洲員安路口,34,29,土城區,5
1357,大安路307巷口,32,18,樹林區,14
1358,漁人碼頭,50,11,淡水區,39
1359,味王街,30,10,樹林區,20
1360,福基公園,32,28,新莊區,3
1361,振義里公園,30,19,板橋區,11
1362,安溪國小,36,25,三峽區,11
1363,中和安和路口,34,12,中和區,22
1364,元氣大鎮社區,30,25,中和區,5
1365,員勝公園,40,16,中和區,23
1366,永和自由街,32,21,永和區,11
1367,安樂宜安路口,36,16,中和區,20
1368,昌隆國小,36,30,新莊區,4
1369,捷運新莊副都心站,46,4,新莊區,42
1370,捷運泰山站,34,4,泰山區,30
1371,八里中庄市場綜合大樓,36,11,八里區,25
1372,江翠國中,30,5,板橋區,25
1373,捷運新北產業園區站,44,5,新莊區,39
1374,捷運泰山貴和站,36,7,泰山區,28
1375,龍形停車場,40,18,八里區,22
1376,捷運紅樹林站,58,24,淡水區,34
1377,大庄一號公園,28,21,淡水區,7
1378,三井Outlet,50,22,林口區,28
1379,貿商國宅,40,24,五股區,13
1380,中正北路193巷(愛買三重店),42,13,三重區,28
1381,翔譽雙子星,36,26,三重區,10
1382,明志科技大學,50,16,泰山區,33
1383,三民高中(民權路),36,25,蘆洲區,11
1384,環河福德南路口,32,11,三重區,21
1385,文林國小(潭興街),34,27,樹林區,7
1386,林口老街,42,15,林口區,27
1387,板橋果菜批發市場,40,4,板橋區,36
1388,安和公園,34,20,新店區,13
1389,東陽市民活動中心,32,26,樹林區,6
1390,遠雄左岸,40,19,中和區,20
1391,瓦磘溝(福真里),32,20,中和區,11
1392,中正路161巷口,36,27,中和區,9
1394,瑞峰橋,28,24,瑞芳區,4
1395,民族二街明峰街口,30,14,汐止區,15
1401,光復國小,38,28,板橋區,10
1402,世貿國家公園社區,30,17,汐止區,12
1403,新店新和國小,42,32,新店區,10
1404,立德青雲路口,36,22,土城區,13
1405,新北市林口行政園區,42,13,林口區,29
1406,工建樟樹一路口,36,18,汐止區,18
1407,中和青年社會住宅,32,29,中和區,3
1408,蘆洲李宅古蹟,30,20,蘆洲區,10
1409,捷運府中站(2號出口),38,11,板橋區,27
1410,新莊勞工中心,32,12,新莊區,20
1411,名利橋,32,20,永和區,12
1412,捷運大坪林站(1號出口),28,10,新店區,18
1413,福和國中停車場,48,10,永和區,38
1414,元隆公園,74,16,中和區,58
1415,福美公園,40,13,新莊區,27
1416,輔仁大學附設醫院,40,8,新莊區,32
1417,民視數位媒體總部,40,21,林口區,19
1418,五股成州郵局,32,18,五股區,14
1419,新市一路一段99巷口,46,19,淡水區,27
1420,國泰街111巷口,34,26,板橋區,8
1421,湳雅觀光夜市(津渡橋),40,21,板橋區,19
1422,學成公園,34,23,土城區,11
1423,鳳祥公園,30,8,鶯歌區,22
1424,光明市場,34,11,三重區,22
1425,中興路二段100巷口,30,20,新店區,10
1426,福和橋,36,17,永和區,19
1427,土城國中,32,14,土城區,18
1428,安光公園,34,5,新店區,29
1429,崇德國小,40,36,汐止區,4
1431,公五公園,44,20,五股區,24
1432,碧潭西岸,40,23,新店區,17
1433,樹林大安站,56,12,樹林區,44
1434,廣停二停車場,36,26,林口區,9
1435,民義公園,40,14,五股區,26
1436,大崙公園,32,21,林口區,10
1437,成州國小,28,3,五股區,25
1438,中興北街42巷17弄,34,7,三重區,27
1439,江翠國小,34,27,板橋區,6
